680979		3789506		-1		-1		-1		3484794		-1		-1		4076051		-1		
701446		3930446		-1		-1		421766		-1		-1		-1		541279		-1		
281859		437733		-1		3074001		-1		-1		-1		-1		-1		-1		
-1		-1		-1		-1		-1		-1		-1		4285755		-1		-1		
-1		-1		-1		-1		-1		364910		-1		-1		-1		103833		
-1		-1		-1		-1		-1		319633		-1		2730596		-1		3517504		
-1		-1		1276705		-1		-1		-1		-1		-1		-1		-1		
-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		
41320		-1		-1		-1		-1		-1		-1		-1		-1		2252754		
678271		130802		2846481		-1		-1		-1		-1		-1		-1		-1		

39968424
